symbol,sector,qty_end,avg_cost_end,mark,market_value,realized_pnl,unrealized_pnl,total_pnl,buy_volume,sell_volume,exposure_return,trades,first_trade,last_trade
AAPL,UNSPECIFIED,24.559309,171.643533,177.425,4357.44,0.0,141.99,141.99,4215.45,0.0,0.033683,2,2025-11-19T04:23:59.365041+00:00,2025-11-19T04:24:00.452394+00:00
ADBE,UNSPECIFIED,-1.8,0.0,417.94,-752.29,620.48,0.0,620.48,0.0,620.48,,3,2025-11-19T04:24:00.448342+00:00,2025-11-19T04:24:02.497932+00:00
AMD,UNSPECIFIED,15.054985,109.546256,118.19,1779.35,0.0,130.13,130.13,1649.22,0.0,0.078905,2,2025-11-19T04:24:01.475060+00:00,2025-11-19T04:24:04.563219+00:00
AMZN,UNSPECIFIED,-1.0,0.0,120.58,-120.58,101.93,0.0,101.93,0.0,101.93,,1,2025-11-19T04:23:59.357514+00:00,2025-11-19T04:23:59.357514+00:00
ARCC,UNSPECIFIED,-0.7,0.0,18.75,-13.12,12.73,0.0,12.73,0.0,12.73,,1,2025-11-19T04:24:00.448568+00:00,2025-11-19T04:24:00.448568+00:00
CAT,UNSPECIFIED,-1.4,0.0,205.81,-288.13,298.81,0.0,298.81,0.0,298.81,,2,2025-11-19T04:24:00.448747+00:00,2025-11-19T04:24:01.473166+00:00
CRM,UNSPECIFIED,9.582426,204.75455,224.11,2147.52,0.0,185.47,185.47,1962.05,0.0,0.09453,1,2025-11-19T04:24:02.499464+00:00,2025-11-19T04:24:02.499464+00:00
CRUS,UNSPECIFIED,-1.2,0.0,77.7,-93.24,97.04,0.0,97.04,0.0,97.04,,3,2025-11-19T04:23:59.358251+00:00,2025-11-19T04:24:01.473324+00:00
CRWD,UNSPECIFIED,-1.4,0.0,160.025,-224.03,169.73,0.0,169.73,0.0,169.73,,2,2025-11-19T04:23:59.359595+00:00,2025-11-19T04:24:00.449055+00:00
DE,UNSPECIFIED,-1.2,0.0,345.92,-415.1,433.04,0.0,433.04,0.0,433.04,,3,2025-11-19T04:24:02.498166+00:00,2025-11-19T04:24:04.562520+00:00
DIA,UNSPECIFIED,-1.4,0.0,329.53,-461.34,464.91,0.0,464.91,0.0,464.91,,2,2025-11-19T04:24:01.473489+00:00,2025-11-19T04:24:02.498323+00:00
DNA,UNSPECIFIED,-0.4,0.0,1.575,-0.63,0.47,0.0,0.47,0.0,0.47,,1,2025-11-19T04:23:59.364170+00:00,2025-11-19T04:23:59.364170+00:00
