datetime_utc,portfolio_id,symbol,action,qty,price_exec,slippage_bps,liquidity_impact_bps,fees,gross_amount,post_trade_cash,post_trade_position,signal_snapshot,rationale,run_id
2025-11-19T04:23:59.357183+00:00,port_backfill_5each,IWM,SELL,0.7,175.15467,10.0,0.0,0.0,122.61,20122.61,4.3,"{""TS"":-0.478785,""TS_daily"":-0.478785,""TS_intraday"":null,""NS"":0.0,""CDS"":-0.287271,""wT"":0.6,""wN"":0.4}",score<sell|guidance:mid_zone_partial_trim,19489728571
2025-11-19T04:23:59.357514+00:00,port_backfill_5each,AMZN,SELL,1.0,101.92797,10.0,0.0,0.0,101.93,20224.54,4.0,"{""TS"":-0.472857,""TS_daily"":-0.472857,""TS_intraday"":null,""NS"":0.0,""CDS"":-0.283714,""wT"":0.6,""wN"":0.4}",score<sell|guidance:guidance_ok,19489728571
2025-11-19T04:23:59.357781+00:00,port_backfill_5each,TSLA,SELL,0.4,161.64819,10.0,0.0,0.0,64.66,20289.2,4.6,"{""TS"":-0.579369,""TS_daily"":-0.579369,""TS_intraday"":null,""NS"":-0.0,""CDS"":-0.347622,""wT"":0.6,""wN"":0.4}",score<sell|guidance:oversold_avoid_full_sell,19489728571
2025-11-19T04:23:59.358021+00:00,port_backfill_5each,TSM,SELL,1.0,83.89602,10.0,0.0,0.0,83.9,20373.09,4.0,"{""TS"":-0.490608,""TS_daily"":-0.490608,""TS_intraday"":null,""NS"":0.0,""CDS"":-0.294365,""wT"":0.6,""wN"":0.4}",score<sell|guidance:guidance_ok,19489728571
2025-11-19T04:23:59.358251+00:00,port_backfill_5each,CRUS,SELL,0.4,84.989925,10.0,0.0,0.0,34.0,20407.09,4.6,"{""TS"":-0.59241,""TS_daily"":-0.59241,""TS_intraday"":null,""NS"":0.0,""CDS"":-0.355446,""wT"":0.6,""wN"":0.4}",score<sell|guidance:oversold_avoid_full_sell,19489728571
2025-11-19T04:23:59.358474+00:00,port_backfill_5each,PLTR,SELL,0.4,7.76223,10.0,0.0,0.0,3.1,20410.19,4.6,"{""TS"":-0.534758,""TS_daily"":-0.534758,""TS_intraday"":null,""NS"":0.0,""CDS"":-0.320855,""wT"":0.6,""wN"":0.4}",score<sell|guidance:oversold_avoid_full_sell,19489728571
2025-11-19T04:23:59.358717+00:00,port_backfill_5each,SOFI,SELL,0.4,5.459535,10.0,0.0,0.0,2.18,20412.38,4.6,"{""TS"":-0.544483,""TS_daily"":-0.544483,""TS_intraday"":null,""NS"":0.0,""CDS"":-0.32669,""wT"":0.6,""wN"":0.4}",score<sell|guidance:oversold_avoid_full_sell,19489728571
2025-11-19T04:23:59.358949+00:00,port_backfill_5each,FSLR,SELL,0.4,180.59922,10.0,0.0,0.0,72.24,20484.62,4.6,"{""TS"":-0.689387,""TS_daily"":-0.689387,""TS_intraday"":null,""NS"":-0.0,""CDS"":-0.413632,""wT"":0.6,""wN"":0.4}",score<sell|guidance:oversold_avoid_full_sell,19489728571
2025-11-19T04:23:59.359166+00:00,port_backfill_5each,ZS,SELL,0.4,88.64127,10.0,0.0,0.0,35.46,20520.07,4.6,"{""TS"":-0.786391,""TS_daily"":-0.786391,""TS_intraday"":null,""NS"":0.0,""CDS"":-0.471835,""wT"":0.6,""wN"":0.4}",score<sell|guidance:oversold_avoid_full_sell,19489728571
2025-11-19T04:23:59.359377+00:00,port_backfill_5each,NET,SELL,0.4,44.770185,10.0,0.0,0.0,17.91,20537.98,4.6,"{""TS"":-0.72786,""TS_daily"":-0.72786,""TS_intraday"":null,""NS"":0.0,""CDS"":-0.436716,""wT"":0.6,""wN"":0.4}",score<sell|guidance:oversold_avoid_full_sell,19489728571
