symbol,qty,avg_cost
__CASH__,1575.99,0
AMD,3.0,0.0
AMZN,0.10134,0.0
ARCC,24.36,0.0
ASTS,4.8675,0.0
BE,3.679611,139.424285
CRWD,0.555751,0.0
CTM,33.0,0.0
DDOG,14.54461,200.536875
DOCN,9.0,0.0
FSLR,3.0,0.0
GOOGL,0.741626,288.57829
HOOD,4.0,0.0
JPM,1.5,0.0
MDB,1.369537,374.60423
MSFT,1.5,0.0
NVDA,3.5,0.0
QBTS,96.455726,0.0
QUBT,6.930156,0.0
RGTI,1.741313,0.0
RKLB,3.9525,0.0
SEDG,7.5e-05,48.00796
SNOW,1.5,0.0
TTWO,0.642652,0.0
TWLO,3.0,0.0
VOO,1.182767,0.0
VTI,9.48,0.0
ZS,1.3,0.0
