datetime_utc,portfolio_id,symbol,action,qty,price_exec,slippage_bps,liquidity_impact_bps,fees,gross_amount,post_trade_cash,post_trade_position,signal_snapshot,rationale,run_id
2025-11-07T01:05:12.846892+00:00,portfolio_paper_aggressive_trades,FSLR,BUY,3.6728,272.38211,10.0,0.0,0.0,-1000.41,6989.97,14.6956,"{""TS"":0.590301,""NS"":0.29577,""CDS"":0.472489,""wT"":0.6,""wN"":0.4}",score>buy,19154823423
2025-11-07T01:05:12.847088+00:00,portfolio_paper_aggressive_trades,AAPL,BUY,3.7035,270.11985,10.0,0.0,0.0,-1000.39,5989.59,14.8186,"{""TS"":0.578813,""NS"":0.306517,""CDS"":0.469894,""wT"":0.6,""wN"":0.4}",score>buy,19154823423
2025-11-07T01:05:12.847242+00:00,portfolio_paper_aggressive_trades,GOOGL,BUY,3.5093,285.07479,10.0,0.0,0.0,-1000.41,4989.17,14.0414,"{""TS"":0.633719,""NS"":0.204776,""CDS"":0.462142,""wT"":0.6,""wN"":0.4}",score>buy,19154823423
2025-11-07T01:05:12.847415+00:00,portfolio_paper_aggressive_trades,AMZN,BUY,4.1134,243.20296,10.0,0.0,0.0,-1000.39,3988.78,4.1137,"{""TS"":0.513501,""NS"":0.259286,""CDS"":0.411815,""wT"":0.6,""wN"":0.4}",score>buy,19154823423
2025-11-07T19:37:10.304534+00:00,portfolio_paper_aggressive_trades,JPM,BUY,3.1406,313.378065,10.0,0.0,0.0,-984.2,3004.58,3.1406,"{""TS"":0.577324,""NS"":0.368065,""CDS"":0.49362,""wT"":0.6,""wN"":0.4}",score>buy,19179221793
2025-11-07T19:37:10.304750+00:00,portfolio_paper_aggressive_trades,DOCN,BUY,20.3395,48.38834,10.0,0.0,0.0,-984.19,2020.39,20.3395,"{""TS"":0.635934,""NS"":0.206328,""CDS"":0.464091,""wT"":0.6,""wN"":0.4}",score>buy,19179221793
2025-11-07T19:37:10.304910+00:00,portfolio_paper_aggressive_trades,GOOGL,BUY,3.5417,277.88761,10.0,0.0,0.0,-984.19,1036.2,17.5831,"{""TS"":0.505175,""NS"":0.373804,""CDS"":0.452626,""wT"":0.6,""wN"":0.4}",score>buy,19179221793
2025-11-07T19:37:10.305060+00:00,portfolio_paper_aggressive_trades,DDOG,BUY,5.2407,187.79761,10.0,0.0,0.0,-984.19,52.0,5.2407,"{""TS"":0.651812,""NS"":0.138089,""CDS"":0.446323,""wT"":0.6,""wN"":0.4}",score>buy,19179221793
2025-11-07T19:37:10.305232+00:00,portfolio_paper_aggressive_trades,ICLN,BUY,0.0004,17.49748,10.0,0.0,0.0,-0.01,52.0,0.0004,"{""TS"":0.491686,""NS"":0.360467,""CDS"":0.439199,""wT"":0.6,""wN"":0.4}",score>buy,19179221793
2025-11-07T23:01:46.748979+00:00,portfolio_paper_aggressive_trades,JPM,BUY,0.124125,314.579265,10.0,0.0,0.0,-39.05,12.95,3.264725,"{""TS"":0.605219,""NS"":0.335114,""CDS"":0.497177,""wT"":0.6,""wN"":0.4}",score>buy,19183518898
