symbol,qty,avg_cost
__CASH__,18713.67,0
ABBV,1.682415,234.098865
AVGO,1.001664,348.53819
CIBR,4.939928,75.00493
DDOG,0.69732,185.92574
ESTC,5.212263,91.3913
ETSY,5.961401,57.67762
ILMN,0.382948,121.46134
LLY,0.514304,1021.775755
LYFT,5.786884,23.29327
MMM,3.019299,170.195025
MRNA,10.603329,24.77475
MSFT,0.664261,511.62111
NOC,0.441318,560.7602
PFE,18.871393,25.80578
TSM,0.991073,281.7815
UBER,3.81299,92.217125
VRTX,0.441291,434.499065
XLE,3.830445,92.147055
XLV,3.19866,153.097945
XOP,3.5e-05,134.06393
